ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Climate_Influence,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
1,Advanced Economies,,AETMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,95.9167685320152,97.0084691055245,97.0102495603669,97.3198369798009,97.4417060295362,97.5091273846635,97.6723409076019,98.1294880727606,98.8476124404848,99.0457833987101,99.2843054697948,99.4057761583848,99.5666417041134,99.5996827796727,99.578181003064,99.5613798635706,99.6482569486247,99.6806270317015,99.7757154441587,99.9010003559468,99.960847913876,99.9778773034992,99.995789209479,100,100.013774894411,100.083020106447,100.240398221341,100.356992990543,100.449569369065,100.466144153411,100.533717292073
2,Advanced Economies excluding US,,EAEUSTMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,94.8003574776485,96.7666297488777,96.7308171104031,97.0544377010707,97.1359867437202,97.1815783639071,97.283967059525,97.8885934246371,98.9368459767425,99.0916597967196,99.4132733621884,99.5575330047123,99.7992205521098,99.8036377050167,99.7292741043984,99.6373968480833,99.7333233024379,99.763215627082,99.8701542134087,100.048878029406,100.101174424638,100.069003761519,100.031638523191,100,99.9850520923908,100.017641971988,100.013159407062,100.020578900786,100.150581488371,100.143877707816,100.227309874629
3,Africa,,AFRTMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,91.8320809631147,93.7846664127779,93.7137488264223,94.4897159856258,94.7781760673437,95.1773124914814,95.6081138994378,96.6834095992966,97.1752855018131,97.5855425057146,97.9175405157888,98.1375497175372,98.4522920077866,98.369181534486,98.4841720686622,98.5999856726498,98.8509266905082,99.2775794788898,99.1104123638288,99.2543519177591,100.467000352591,100.40217263164,100.197790044425,100,99.896321030376,99.8340687837383,99.5556670959671,99.552163510696,99.6720898728094,99.5239700971153,99.6063383232331
4,Americas,,AMETMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,93.0146677713397,93.114284444008,93.0421907823264,94.3679395382479,94.7354058936156,94.9974258660031,95.5039614131079,96.3648321899834,96.6088194727436,96.8193085966779,96.946462675182,97.282484866721,98.2519511120953,98.1412162204714,98.089116827076,98.3206923597596,98.5218554456471,98.7475585097672,99.0135586194277,99.1525000858987,99.3988337069699,99.6060862183206,99.7780723934951,100,100.27640795017,100.579215150276,100.807090985399,100.93386242082,100.995591924234,101.066500135581,101.022779487412
5,Asia,,ASIATMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,100.79259775581,100.408124571147,99.9918781077583,100.153143455017,100.17437808005,100.38910312251,100.631187987577,101.21233002226,101.723864700328,101.880677496434,101.973052780233,101.855282312182,101.905278599229,101.801054076257,101.573132873204,101.297410651597,101.14646884079,100.968824193478,100.779813148812,100.495592825233,100.264989783959,100.105208497338,100.084265938451,100,99.5584944931006,99.1878648560301,98.9715608240983,98.6024663295612,98.4517729404486,98.3752070110634,98.3115309059638
6,Emerging and Developing Countries Asia excluding China,,EMDEAECHTMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,103.958246311238,103.553902008051,102.930647924779,103.01876960501,102.965341357273,103.259294140053,103.39203433854,103.358860124304,103.426073206099,103.24783337705,103.227885149313,103.025343289847,102.959077792226,102.794511144451,102.394062082597,101.968729852681,101.760534475841,101.297032164297,100.956645532982,100.773894443089,100.578391278645,100.328647765714,100.145548030903,100,99.8355705050848,99.4062413648596,99.1951593697277,98.8838572040187,98.6471025727472,98.4921327239756,98.2660030374108
7,Emerging and Developing Countries Europe,,EMDEETMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,98.2231477865576,98.2154045804239,98.1701198028121,98.6218168365359,98.6509657629034,98.7496165838516,98.8823722970539,99.0763188486221,99.4577689790697,99.519742569243,99.5689791133621,99.4865992080354,99.443342299178,99.3805782241865,100.287678458508,100.151867115133,100.086456976151,100.06467678893,100.08399797663,100.018332498338,100.039252639623,100.023582561543,100.01765520684,100,99.7616441278288,99.6942630509183,99.8320226107125,99.9556963891315,99.9951715623917,100.066589990532,100.171912680342
8,Emerging and Developing Economies,,EMDETMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,97.2813128375902,97.2391629332497,96.9988866230217,97.6397845893822,97.81506415915,98.093399311404,98.4377892868924,99.1800634020947,99.6305616655091,99.8327283106497,99.9774869484897,100.058808584132,100.432424617361,100.314112961934,100.40704175705,100.3545081554,100.397605403705,100.473380164062,100.435699938445,100.377492031646,100.068742868626,100.036072881997,100.020168268859,100,99.8320636944301,99.724156519529,99.6283635298997,99.5076808857699,99.4953249181267,99.4554020028668,99.446300767411
9,Europe,,EURTMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,96.7991379433581,97.8203281903318,97.7577492563913,97.9628206004287,98.0229453600661,98.1109761284712,98.1694574299687,98.4016180944925,99.1150993513696,99.1374145887227,99.2853949749906,99.2833226860784,99.3290313434131,99.2789552559961,99.9971826638262,99.929258619741,99.9521165605243,99.9175920424981,100.017813165228,100.076078457477,100.125317841848,100.107759057578,100.036141754751,100,99.856723286839,99.8297243193454,99.963376263068,100.090987696304,100.206774984911,100.253958209348,100.367163400713
10,Latin America and the Caribbean,,LACTMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,89.3114333786434,89.4941406237482,89.3339366205923,91.4889420379699,92.0521190266301,92.4542154464929,93.1839969167064,94.5534802578889,94.7608190174744,94.9567806588703,95.091478339,95.6304425203871,97.3323063794806,97.0834316723778,96.9585729208644,97.3253603037615,97.63993536201,98.0235308751724,98.4507971531672,98.6675772757481,99.0644613599903,99.3849573205026,99.6347252959816,100,100.452289417258,100.915940600666,101.059232559897,101.106663864054,101.186050878203,101.285289522672,101.166311616066
